crop_name,state,year,month,price
Onion,Andhra Pradesh,2021,Apr,763.0
Onion,Andhra Pradesh,2021,May,931.0
Onion,Andhra Pradesh,2021,Jun,1513.0
Onion,Andhra Pradesh,2021,Jul,1428.0
Onion,Andhra Pradesh,2021,Aug,1261.0
Onion,Andhra Pradesh,2021,Sep,1044.0
Onion,Andhra Pradesh,2021,Oct,1562.0
Onion,Andhra Pradesh,2021,Nov,1460.0
Onion,Andhra Pradesh,2021,Dec,1295.0
Onion,Andhra Pradesh,2022,Jan,1608.0
Onion,Andhra Pradesh,2022,Feb,1720.0
Onion,Andhra Pradesh,2022,Mar,1053.0
Onion,All-India Average,2021,Apr,1378.8
Onion,All-India Average,2021,May,1545.4
Onion,All-India Average,2021,Jun,2012.7
Onion,All-India Average,2021,Jul,2083.5
Onion,All-India Average,2021,Aug,1989.0
Onion,All-India Average,2021,Sep,1929.2
Onion,All-India Average,2021,Oct,2794.8
Onion,All-India Average,2021,Nov,2508.5
Onion,All-India Average,2021,Dec,2474.4
Onion,All-India Average,2022,Jan,2761.1
Onion,All-India Average,2022,Feb,2693.5
Onion,All-India Average,2022,Mar,2192.1
Onion,Andhra Pradesh,2022,Apr,684.0
Onion,Andhra Pradesh,2022,May,578.0
Onion,Andhra Pradesh,2022,Jun,908.0
Onion,Andhra Pradesh,2022,Jul,895.0
Onion,Andhra Pradesh,2022,Aug,818.0
Onion,Andhra Pradesh,2022,Sep,738.0
Onion,Andhra Pradesh,2022,Oct,836.0
Onion,Andhra Pradesh,2022,Nov,1025.0
Onion,Andhra Pradesh,2022,Dec,1058.0
Onion,Andhra Pradesh,2023,Jan,1051.0
Onion,Andhra Pradesh,2023,Feb,708.0
Onion,Andhra Pradesh,2023,Mar,622.0
Onion,All-India Average,2022,Apr,1710.8
Onion,All-India Average,2022,May,1522.9
Onion,All-India Average,2022,Jun,1512.0
Onion,All-India Average,2022,Jul,1702.5
Onion,All-India Average,2022,Aug,1449.7
Onion,All-India Average,2022,Sep,1751.3
Onion,All-India Average,2022,Oct,2056.1
Onion,All-India Average,2022,Nov,2344.5
Onion,All-India Average,2022,Dec,2710.6
Onion,All-India Average,2023,Jan,2151.9
Onion,All-India Average,2023,Feb,1838.2
Onion,All-India Average,2023,Mar,1393.2
Onion,Andhra Pradesh,2023,Apr,643.9
Onion,Andhra Pradesh,2023,May,725.6
Onion,Andhra Pradesh,2023,Jun,1462.5
Onion,Andhra Pradesh,2023,Aug,2059.8
Onion,Andhra Pradesh,2023,Sep,1891.9
Onion,Andhra Pradesh,2023,Oct,2689.2
Onion,Andhra Pradesh,2023,Nov,3353.1
Onion,Andhra Pradesh,2023,Dec,2399.2
Onion,Andhra Pradesh,2024,Jan,1134.9
Onion,Andhra Pradesh,2024,Feb,1121.7
Onion,Andhra Pradesh,2024,Mar,1170.2
Onion,All-India Average,2023,Apr,1273.4
Onion,All-India Average,2023,May,1711.5
Onion,All-India Average,2023,Jun,1813.2
Onion,All-India Average,2023,Jul,2042.5
Onion,All-India Average,2023,Aug,2365.0
Onion,All-India Average,2023,Sep,2839.5
Onion,All-India Average,2023,Oct,3032.0
Onion,All-India Average,2023,Nov,4547.8
Onion,All-India Average,2023,Dec,3555.8
Onion,All-India Average,2024,Jan,2175.3
Onion,All-India Average,2024,Feb,2215.6
Onion,All-India Average,2024,Mar,2155.8
Potato,Andhra Pradesh,2022,Jan,1800.0
Potato,Andhra Pradesh,2022,Feb,1438.0
Potato,Andhra Pradesh,2022,Mar,1530.0
Potato,All-India Average,2021,Apr,1298.8
Potato,All-India Average,2021,May,1289.7
Potato,All-India Average,2021,Jun,1358.5
Potato,All-India Average,2021,Jul,1230.2
Potato,All-India Average,2021,Aug,1355.0
Potato,All-India Average,2021,Sep,1274.3
Potato,All-India Average,2021,Oct,1327.1
Potato,All-India Average,2021,Nov,1700.1
Potato,All-India Average,2021,Dec,1498.2
Potato,All-India Average,2022,Jan,1343.3
Potato,All-India Average,2022,Feb,1263.1
Potato,All-India Average,2022,Mar,1465.0
Potato,Andhra Pradesh,2022,Apr,1461.0
Potato,Andhra Pradesh,2022,May,1620.0
Potato,All-India Average,2022,Apr,1549.6
Potato,All-India Average,2022,May,1699.6
Potato,All-India Average,2022,Jun,1775.7
Potato,All-India Average,2022,Jul,1879.7
Potato,All-India Average,2022,Aug,1897.3
Potato,All-India Average,2022,Sep,1933.1
Potato,All-India Average,2022,Oct,2070.8
Potato,All-India Average,2022,Nov,1985.9
Potato,All-India Average,2022,Dec,2290.0
Potato,All-India Average,2023,Jan,2759.6
Potato,All-India Average,2023,Feb,2018.9
Potato,All-India Average,2023,Mar,1725.9
Potato,Andhra Pradesh,2023,Apr,1215.3
Potato,Andhra Pradesh,2023,May,1500.0
Potato,Andhra Pradesh,2023,Oct,1500.0
Potato,Andhra Pradesh,2023,Nov,1500.0
Potato,Andhra Pradesh,2023,Dec,1664.5
Potato,Andhra Pradesh,2024,Jan,2000.0
Potato,Andhra Pradesh,2024,Feb,1791.0
Potato,Andhra Pradesh,2024,Mar,1943.6
Potato,All-India Average,2023,Apr,1207.5
Potato,All-India Average,2023,May,1526.9
Potato,All-India Average,2023,Jun,1757.5
Potato,All-India Average,2023,Jul,1779.9
Potato,All-India Average,2023,Aug,1821.5
Potato,All-India Average,2023,Sep,1983.2
Potato,All-India Average,2023,Oct,1575.9
Potato,All-India Average,2023,Nov,1647.9
Potato,All-India Average,2023,Dec,1517.3
Potato,All-India Average,2024,Jan,1306.0
Potato,All-India Average,2024,Feb,1439.4
Potato,All-India Average,2024,Mar,1602.6
Tomato,Andhra Pradesh,2021,Apr,620.0
Tomato,Andhra Pradesh,2021,May,567.0
Tomato,Andhra Pradesh,2021,Jun,733.0
Tomato,Andhra Pradesh,2021,Jul,1078.0
Tomato,Andhra Pradesh,2021,Aug,1385.0
Tomato,Andhra Pradesh,2021,Sep,1124.0
Tomato,Andhra Pradesh,2021,Oct,2792.0
Tomato,Andhra Pradesh,2021,Nov,4436.0
Tomato,Andhra Pradesh,2021,Dec,4555.0
Tomato,Andhra Pradesh,2022,Jan,1563.0
Tomato,Andhra Pradesh,2022,Feb,750.0
Tomato,Andhra Pradesh,2022,Mar,645.0
Tomato,All-India Average,2021,Apr,1109.1
Tomato,All-India Average,2021,May,1062.3
Tomato,All-India Average,2021,Jun,1327.4
Tomato,All-India Average,2021,Jul,1754.2
Tomato,All-India Average,2021,Aug,1739.4
Tomato,All-India Average,2021,Sep,1681.0
Tomato,All-India Average,2021,Oct,3239.8
Tomato,All-India Average,2021,Nov,3966.4
Tomato,All-India Average,2021,Dec,3368.5
Tomato,All-India Average,2022,Jan,1963.3
Tomato,All-India Average,2022,Feb,1646.7
Tomato,All-India Average,2022,Mar,1611.4
Tomato,Andhra Pradesh,2022,Apr,1043.0
